bar,beat,onset
1,1,1.2343990929705215
2,1,2.938548752834467
3,1,4.709160997732426
4,1,6.399319727891156
5,1,8.095487528344671
6,1,9.845691609977324
7,1,11.557709750566893
8,1,13.262925170068026
9,1,14.983310657596371
10,1,16.713673469387754
11,1,18.435578231292517
12,1,20.15408163265306
13,1,21.85578231292517
14,1,23.560362811791382
15,1,25.2
16,1,26.90265306122449
17,1,28.57832199546485
18,1,30.255102040816325
19,1,31.90843537414966
20,1,33.60575963718821
21,1,35.26857142857143
22,1,36.952834467120184
23,1,38.63219954648526
24,1,40.35326530612245
25,1,42.03015873015873
26,1,43.720249433106574
27,1,45.45680272108844
28,1,47.151496598639454
29,1,48.83580498866213
30,1,50.55417233560091
31,1,52.23047619047619
32,1,53.9450566893424
33,1,55.607074829931975
34,1,57.321451247165534
35,1,58.999433106575964
36,1,60.698095238095235
37,1,62.3869387755102
38,1,64.057052154195
39,1,65.7733560090703
40,1,67.41913832199546
41,1,69.10054421768707
42,1,70.75791383219955
43,1,72.41473922902495
44,1,74.09022675736962
45,1,75.80256235827665
46,1,77.47977324263039
47,1,79.19707482993198
48,1,80.90519274376418
49,1,82.60056689342403
50,1,84.29133786848072
51,1,85.98031746031747
52,1,87.67755102040816
53,1,89.36823129251701
54,1,91.06977324263039
55,1,92.7472335600907
56,1,94.46866213151928
57,1,96.13895691609977
58,1,97.89850340136054
59,1,99.5746485260771
60,1,101.30519274376417
61,1,102.97036281179139
62,1,104.69052154195012
63,1,106.34433106575963
64,1,108.0463492063492
65,1,109.70612244897958
